name|phone num|rating|primary industry|genre|url|city|zipcode|state|address|borough|country|address remark
Deli Glatt Corporation|(212) 349-3622||restaurant|Restaurants|/biz/deli-glatt-corporation-new-york|Financial District|10038|NY|152 Fulton StreetNew York, NY 10038|Manhattan|US|
M Z’s Lounge|(212) 979-0048||restaurant|Restaurants|/biz/m-zs-lounge-new-york|Greenwich Village|10012|NY|205 Thompson StreetNew York, NY 10012|Manhattan|US|
Les Deux Lapins|(212) 387-8484|5.0 star rating|restaurant|Restaurants|/biz/les-deux-lapins-new-york|Greenwich Village|10012|NY|222 Thompson StNew York, NY 10012|Manhattan|US|
D J’s Pizza Plus|(212) 509-0966|2.0 star rating|restaurant|ItalianPizza|/biz/d-js-pizza-plus-new-york|Financial District|10004|NY|69 New StNew York, NY 10004|Manhattan|US|
Pizza Pizza of Hanover Sq|(212) 425-4442||restaurant|Pizza|/biz/pizza-pizza-of-hanover-sq-new-york|Financial District|10004|NY|2 William StNew York, NY 10004|Manhattan|US|
Hello Pasta|(212) 557-2782||restaurant|Italian|/biz/hello-pasta-new-york-4|Financial District|10038|NY|125 Maiden LnNew York, NY 10038|Manhattan|US|
Seattle Cafe & Grill|(212) 566-5666|3.0 star rating|restaurant|Sandwiches|/biz/seattle-cafe-and-grill-new-york-2|Financial District|10038|NY|110 William StNew York, NY 10038|Manhattan|US|
Chaat King Macdougal|(347) 420-5095|3.5 star rating|restaurant|Indian|/biz/chaat-king-macdougal-new-york|Greenwich Village|10012|NY|123 MacDougal StNew York, NY 10012|Manhattan|US|
Petit Cafe|(212) 229-0004||restaurant|Cafes|/biz/petit-cafe-new-york-2|Financial District|10006|NY|70 Greenwich StNew York, NY 10006|Manhattan|US|
Niko Niko Sushi & Bowl|(212) 232-0152|2.5 star rating|restaurant|Japanese|/biz/niko-niko-sushi-and-bowl-new-york|Financial District|10005|NY|80 Wall StNew York, NY 10005|Manhattan|US|
Pax Inc|(212) 269-5109||restaurant|DelisSandwiches|/biz/pax-inc-new-york|Financial District|10005|NY|100 Wall St Frnt 2New York, NY 10005|Manhattan|US|
New Pizza Town|(212) 353-1719||restaurant|Pizza|/biz/new-pizza-town-new-york-2|Greenwich Village|10011|NY|40 W 8th StreetNew York, NY 10011|Manhattan|US|
Western Seaworld|(212) 255-7265||restaurant|Restaurants|/biz/western-seaworld-new-york|Greenwich Village|10011|NY|57 W 9th StNew York, NY 10011|Manhattan|US|
Cafe 130 Water|(212) 785-1320||restaurant|DelisSandwiches|/biz/cafe-130-water-new-york|Financial District|10005|NY|79 Pine StreetNew York, NY 10005|Manhattan|US|
Moon River Food Service|(212) 233-4455||restaurant|Restaurants|/biz/moon-river-food-service-new-york|Financial District|10038|NY|44 Ann StreetNew York, NY 10038|Manhattan|US|
Unique Fast Food|(212) 253-2890||restaurant|Chinese|/biz/unique-fast-food-new-york|Greenwich Village|10012|NY|135 West 3rd StreetNew York, NY 10012|Manhattan|US|
J G F Foods|(212) 233-1573||restaurant|Restaurants|/biz/j-g-f-foods-new-york|Financial District|10006|NY|94 1/2 1/2 Greenwich StNew York, NY 10006|Manhattan|US|
Corbet & Conley|(212) 513-1611||restaurant|Restaurants|/biz/corbet-and-conley-new-york-10|Financial District|10006|NY|132 Greenwich StNew York, NY 10006|Manhattan|US|
Sakele Brothers|(212) 962-0463||restaurant|Restaurants|/biz/sakele-brothers-new-york|Financial District|10007|NY|7 Dey StreetNew York, NY 10007|Manhattan|US|
Pilly’s|(212) 627-7280|1.0 star rating|restaurant|DelisSandwiches|/biz/pillys-new-york|Union Square, Greenwich Village|10003|NY|59 5th AvenueNew York, NY 10003|Manhattan|US|
Chet W Kern|(212) 693-1329||restaurant|American (New)|/biz/chet-w-kern-new-york|Financial District|10006|NY|61 BroadwayNew York, NY 10006|Manhattan|US|
Houlihan’s|(212) 483-8310||restaurant|American (New)|/biz/houlihans-new-york-16|Financial District|10004|NY|50 Broad StNew York, NY 10004|Manhattan|US|
Subway|(212) 358-0286||restaurant|SandwichesFast Food|/biz/subway-new-york-234|Greenwich Village|10003|NY|28 E 8th StNew York, NY 10003|Manhattan|US|
B3 Restaurant & Lounge|(212) 614-9755||restaurant|American (New)|/biz/b3-restaurant-and-lounge-new-york|Greenwich Village|10009|NY|33 W 3rd StNew York, NY 10009|Manhattan|US|
Amazing Thailand 1998|(212) 742-0088||restaurant|Restaurants|/biz/amazing-thailand-1998-new-york|Financial District|10004|NY|11 Stone St Fl 2New York, NY 10004|Manhattan|US|
Young’s Cafe|(212) 269-5775||restaurant|Cafes|/biz/youngs-cafe-new-york-2|Financial District|10038|NY|165 Water StNew York, NY 10038|Manhattan|US|
Jodina’s Pizzeria|(212) 271-4118|2.5 star rating|restaurant|Pizza|/biz/jodinas-pizzeria-new-york-2|Financial District|10038|NY|59 Nassau StNew York, NY 10038|Manhattan|US|
Mandarin Taste|(212) 777-0988|4.0 star rating|restaurant|Chinese|/biz/mandarin-taste-new-york|Greenwich Village|10011|NY|25 W 8th StNew York, NY 10011|Manhattan|US|
Sumou Japanese Restaurant Inc|(212) 227-8333|3.5 star rating|restaurant|Japanese|/biz/sumou-japanese-restaurant-inc-new-york|Financial District|10038|NY|104 John StNew York, NY 10038|Manhattan|US|
Shafiq Sandwich Shop|(212) 785-0520||restaurant|Sandwiches|/biz/shafiq-sandwich-shop-new-york|Financial District|10004|NY|25 Beaver StNew York, NY 10004|Manhattan|US|
Test Qa|(237) 477-7925||restaurant|American (New)|/biz/test-qa-new-york|Financial District|10004|NY|17 Battery Park PlNew York, NY 10004|Manhattan|US|
Frazier Foods|(212) 528-2930||restaurant|Restaurants|/biz/frazier-foods-new-york|Financial District|10038|NY|52 Fulton StreetNew York, NY 10038|Manhattan|US|
Liquid Lab|(212) 571-6223||restaurant|Restaurants|/biz/liquid-lab-new-york|Financial District|10038|NY|24 John StreetNew York, NY 10038|Manhattan|US|
Regent Wall Street Hotel|(212) 845-8600|3.5 star rating|restaurant|Restaurants|/biz/regent-wall-street-hotel-new-york|Financial District|10005|NY|55 Wall StNew York, NY 10005|Manhattan|US|
Kosher Cafe At District|(212) 608-6180|3.0 star rating|restaurant|Kosher|/biz/kosher-cafe-at-district-new-york|Financial District|10038|NY|111 Fulton StNew York, NY 10038|Manhattan|US|
O & M Food|(212) 785-3563||restaurant|Restaurants|/biz/o-and-m-food-new-york|Financial District|10005|NY|1 Exchange PlaceNew York, NY 10005|Manhattan|US|
Liberatos Enterprise Inc|(212) 785-5570|3.0 star rating|restaurant|DelisSandwiches|/biz/liberatos-enterprise-inc-new-york|Financial District|10004|NY|22 Beaver StNew York, NY 10004|Manhattan|US|
Mita Restaurant|(212) 349-6264||restaurant|Restaurants|/biz/mita-restaurant-new-york|Financial District|10005|NY|45 Nassau StreetNew York, NY 10005|Manhattan|US|
Duck River Restaurant|(212) 274-1881||restaurant|Chinese|/biz/duck-river-restaurant-new-york|Financial District|10038|NY|64 Fulton StreetNew York, NY 10038|Manhattan|US|
The Ketch|(212) 514-7700||restaurant|American (New)|/biz/the-ketch-new-york-2|Financial District|10270|NY|70 Pine StNew York, NY 10270|Manhattan|US|
J. P. Mustard|(212) 785-0612|3.0 star rating|restaurant|Sandwiches|/biz/j-p-mustard-new-york-2|Financial District, South Street Seaport|10038|NY|199 Water StNew York, NY 10038|Manhattan|US|
Ko Ko|||restaurant|Asian Fusion|/biz/ko-ko-new-york|Financial District|10006|NY|120 GreenwhichNew York, NY 10006|Manhattan|US|
Dezer Properties Company|(212) 929-1285||restaurant|Restaurants|/biz/dezer-properties-company-new-york-2|Greenwich Village|10003|NY|89 5th AvenueNew York, NY 10003|Manhattan|US|
642 Kitchen|||restaurant|Tapas/Small Plates|/biz/642-kitchen-manhattan|Financial District|10005|NY|20 Exchange PlManhattan, NY 10005|Manhattan|US|
Fino Ristorante|||restaurant|Italian|/biz/fino-ristorante-new-york|Financial District|10005|NY|82 Beaver StNew York, NY 10005|Manhattan|US|
Fantastic Thai|(732) 277-5902|3.0 star rating|restaurant|ThaiEthnic Food|/biz/fantastic-thai-new-york|Greenwich Village|10012|NY|109 MacDougal StNew York, NY 10012|Manhattan|US|
Thai Sliders & Co.||4.0 star rating|restaurant|Thai|/biz/thai-sliders-and-co-new-york-2|Financial District|10038|NY|108 John StNew York, NY 10038|Manhattan|US|
Koodo Sushi|(212) 425-2890|3.0 star rating|restaurant|Sushi Bars|/biz/koodo-sushi-new-york|Financial District|10005|NY|129 Front StNew York, NY 10005|Manhattan|US|
Solace|(212) 732-5078||restaurant|ItalianPizza|/biz/solace-new-york|Financial District|10038|NY|145 Fulton StNew York, NY 10038|Manhattan|US|
Pizzeria|(212) 253-1602||restaurant|Italian|/biz/pizzeria-new-york-2|Greenwich Village|10012|NY|111 Macdougal StNew York, NY 10012|Manhattan|US|
Kufta Stand||3.5 star rating|restaurant|Food Stands|/biz/kufta-stand-new-york|Financial District||NY|Wall StNew York, NY|Manhattan|US|
Joe’s Dumpling|(212) 233-3915||restaurant|ChineseJapanese|/biz/joes-dumpling-new-york|Financial District|10038|NY|70 John StNew York, NY 10038|Manhattan|US|
Rockography|(646) 360-4143|3.0 star rating|restaurant|Cafes|/biz/rockography-new-york-2|Greenwich Village|10011|NY|504 Ave of the AmericasNew York, NY 10011|Manhattan|US|
Yorganic|(212) 668-9888|2.5 star rating|restaurant|CafesCoffee & Tea|/biz/yorganic-new-york-7|Financial District|10006|NY|89 Washington StNew York, NY 10006|Manhattan|US|
Flavor of Milen|(917) 318-5260||restaurant|American (New)|/biz/flavor-of-milen-new-york|Financial District|10016|NY|85 John StNew York, NY 10016|Manhattan|US|
Herman’s Gourmet Deli|(212) 248-4584|3.5 star rating|restaurant|DelisSandwiches|/biz/hermans-gourmet-deli-new-york|Financial District|10005|NY|56 Pine StNew York, NY 10005|Manhattan|US|
Classico|(212) 285-1438||restaurant|Restaurants|/biz/classico-new-york|Financial District|10038|NY|166 William StreetNew York, NY 10038|Manhattan|US|
Sal’s Comedy Hole|(212) 777-7521||restaurant|Restaurants|/biz/sals-comedy-hole-new-york|Greenwich Village|10012|NY|89 MacDougal Street Apt 5BNew York, NY 10012|Manhattan|US|
Mel’s Dinner|||restaurant|Diners|/biz/mels-dinner-new-york-3|Financial District|10023|NY|10 E BroadwayNew York, NY 10023|Manhattan|US|
Au Bon Pain||5.0 star rating|restaurant|Sandwiches|/biz/au-bon-pain-new-york-41|Financial District|10038|NY|212 Pearl StNew York, NY 10038|Manhattan|US|
Cafe 55|(212) 232-0109||restaurant|Cafes|/biz/cafe-55-new-york|Financial District|10004|NY|55 Water StNew York, NY 10004|Manhattan|US|
Burger King|(212) 608-9669|5.0 star rating|restaurant|Burgers|/biz/burger-king-new-york-36|Financial District|10038|NY|55 Fulton StNew York, NY 10038|Manhattan|US|
Elixir Juice Bar|(212) 349-6260|4.0 star rating|restaurant|VeganJuice Bars & Smoothies|/biz/elixir-juice-bar-new-york-9|Financial District|10038|NY|71 Nassau StNew York, NY 10038|Manhattan|US|
Hanover Deli Gourmet|(212) 680-0212||restaurant|Delis|/biz/hanover-deli-gourmet-new-york|Financial District|10004|NY|3 Hanover Sq Frnt 5New York, NY 10004|Manhattan|US|
Dembin Nathan L & Associates PC|(212) 267-0505|4.0 star rating|restaurant|LawyersRestaurants|/biz/dembin-nathan-l-and-associates-pc-new-york|Financial District|10007|NY|225 BroadwayNew York, NY 10007|Manhattan|US|
A Marok Bar & Grill|(212) 227-4933||restaurant|Restaurants|/biz/a-marok-bar-and-grill-new-york|Financial District|10038|NY|32 Cliff StreetNew York, NY 10038|Manhattan|US|
Subway|(516) 593-3531||restaurant|SandwichesFast Food|/biz/subway-valley-stream-3|Financial District|11580|NY|77 Green Acres RdValley Stream, NY 11580|Manhattan|US|
Sol|(212) 598-1809|4.5 star rating|restaurant|Seafood|/biz/sol-new-york-2|Greenwich Village|10012|NY|127 Macdougal StNew York, NY 10012|Manhattan|US|
Sbarro|(212) 677-5600|1.5 star rating|restaurant|PizzaItalian|/biz/sbarro-new-york-6|Greenwich Village|10003|NY|757 BroadwayNew York, NY 10003|Manhattan|US|
Pearl Cafe|(212) 964-1862||restaurant|Cafes|/biz/pearl-cafe-new-york-3|Financial District|10038|NY|49 Fulton StNew York, NY 10038|Manhattan|US|
Gus & US|(212) 995-0771||restaurant|DelisSandwiches|/biz/gus-and-us-new-york|Greenwich Village|10011|NY|178 MacDougal StNew York, NY 10011|Manhattan|US|
Wavespot123|(212) 608-8850|2.5 star rating|restaurant|American (New)|/biz/wavespot123-new-york-3|Financial District|10038|NY|123 William StNew York, NY 10038|Manhattan|US|
Subway|(212) 732-7283|3.0 star rating|restaurant|Fast FoodSandwiches|/biz/subway-new-york-205|Financial District|10038|NY|112 John StNew York, NY 10038|Manhattan|US|
Little Beirut|(212) 260-5414||restaurant|Hookah BarsMiddle Eastern|/biz/little-beirut-manhattan|Greenwich Village|10012|NY|29 W 8th StManhattan, NY 10012|Manhattan|US|
Lemongrass Grill|(646) 486-7313|3.0 star rating|restaurant|Thai|/biz/lemongrass-grill-new-york-7|Union Square, Greenwich Village|10003|NY|9 E 13th StNew York, NY 10003|Manhattan|US|
Mazur Brothers Jaffe Fish Company|(212) 962-6419||restaurant|SeafoodSeafood Markets|/biz/mazur-brothers-jaffe-fish-company-new-york|Financial District|10038|NY|25 Peck Slip 27New York, NY 10038|Manhattan|US|
Magnet Sandwich Shop|(212) 233-9816||restaurant|Restaurants|/biz/magnet-sandwich-shop-new-york|Financial District|10006|NY|141 Greenwich StNew York, NY 10006|Manhattan|US|
Subway|(212) 260-4681|2.0 star rating|restaurant|Fast FoodSandwiches|/biz/subway-new-york-112|Greenwich Village|10011|NY|59 W 8th StNew York, NY 10011|Manhattan|US|
Fino’s|(212) 825-1924||restaurant|Italian|/biz/finos-brooklyn|Financial District|11201|NY|1 Wall Street CtBrooklyn, NY 11201|Manhattan|US|
Aiko Sushi|(917) 593-6688|2.0 star rating|restaurant|Sushi Bars|/biz/aiko-sushi-new-york|Financial District|10005|NY|162 Pearl StNew York, NY 10005|Manhattan|US|
Carmela’s Italian Specialties|(212) 809-0999||restaurant|Pizza|/biz/carmelas-italian-specialties-new-york|Financial District|10004|NY|30 Water StreetNew York, NY 10004|Manhattan|US|
Lenny’s|(212) 385-2828|3.5 star rating|restaurant|SaladSandwichesSoup|/biz/lennys-new-york-20|Financial District|10005|NY|114 Pearl StNew York, NY 10005|Manhattan|US|
Landmark Gourmet|(212) 422-2929|2.0 star rating|restaurant|DelisSandwiches|/biz/landmark-gourmet-new-york|Financial District|10004|NY|64 Pearl StNew York, NY 10004|Manhattan|US|
Wolf’s Delicatessen & Restaurant|(212) 422-4141||restaurant|DelisSandwiches|/biz/wolfs-delicatessen-and-restaurant-new-york|Financial District|10006|NY|17 Trinity PlaceNew York, NY 10006|Manhattan|US|
Masterpiece Pizza|(212) 869-8026|3.5 star rating|restaurant|Pizza|/biz/masterpiece-pizza-new-york-79|Financial District|10006|NY|2 Rector StNew York, NY 10006|Manhattan|US|
Alex’s Deli|(212) 979-7826||restaurant|Delis|/biz/alexs-deli-new-york|Greenwich Village|10012|NY|95 MacDougal StNew York, NY 10012|Manhattan|US|
J D Rush’s Restaurant & Bar|(212) 964-8483||restaurant|Restaurants|/biz/j-d-rushs-restaurant-and-bar-new-york|Financial District|10038|NY|32 Cliff StNew York, NY 10038|Manhattan|US|
Brasserie Montparnasse|(212) 344-9160||restaurant|Restaurants|/biz/brasserie-montparnasse-new-york|Financial District|10004|NY|44 Beaver StreetNew York, NY 10004|Manhattan|US|
Pomodoro Pizza|(212) 406-0917|3.0 star rating|restaurant|Pizza|/biz/pomodoro-pizza-new-york-6|Financial District|10006|NY|14 Rector StNew York, NY 10006|Manhattan|US|
Vietnamese Sandwiches|(212) 952-1699|2.0 star rating|restaurant|Sandwiches|/biz/vietnamese-sandwiches-manhattan|Financial District|10005|NY|164 Pearl StManhattan, NY 10005|Manhattan|US|
Circa by Dey|(212) 227-2255||restaurant|Restaurants|/biz/circa-by-dey-new-york|Financial District|10007|NY|7 Dey StNew York, NY 10007|Manhattan|US|
Via Restaurant & Bar|(212) 267-6800||restaurant|American (Traditional)|/biz/via-restaurant-and-bar-new-york|Financial District|10006|NY|114 Greenwich StNew York, NY 10006|Manhattan|US|
Tran Gourmet Restaurant|(408) 622-9220||restaurant|Fast FoodAmerican (Traditional)|/biz/tran-gourmet-restaurant-new-york|Financial District|10005|NY|63 Wall StNew York, NY 10005|Manhattan|US|
99vegegetarian|||restaurant|American (New)|/biz/99vegegetarian-manhattan|Financial District|10005|NY|And 99 And Wall StManhattan, NY 10005|Manhattan|US|
Subway|(212) 809-6590|2.0 star rating|restaurant|SandwichesFast Food|/biz/subway-new-york-231|Financial District|10004|NY|30 Broad StNew York, NY 10004|Manhattan|US|
Pane Sardo|(212) 674-2044||restaurant|Restaurants|/biz/pane-sardo-new-york|Greenwich Village|10003|NY|1 5th AvenueNew York, NY 10003|Manhattan|US|
Vine|(212) 344-8463||restaurant|Chinese|/biz/vine-new-york|Financial District|10004|NY|25 Broad StNew York, NY 10004|Manhattan|US|
Googie’s|(212) 673-0050|3.0 star rating|restaurant|Restaurants|/biz/googies-new-york|Greenwich Village|10012|NY|237 Sullivan StNew York, NY 10012|Manhattan|US|
Yip Yick Ming|(212) 480-9010|3.0 star rating|restaurant|Chinese|/biz/yip-yick-ming-new-york|Financial District|10004|NY|18 Beaver StNew York, NY 10004|Manhattan|US|
Anytime Cafe Delicatessen|(212) 732-3555|2.0 star rating|restaurant|Delis|/biz/anytime-cafe-delicatessen-new-york|Financial District|10038|NY|142 Fulton StNew York, NY 10038|Manhattan|US|
Circa New York|(212) 227-2255||restaurant|Restaurants|/biz/circa-new-york-new-york|Financial District|10007|NY|5 Dey StreetNew York, NY 10007|Manhattan|US|
Wrapp City|(212) 995-0816||restaurant|Restaurants|/biz/wrapp-city-new-york|Greenwich Village|10003|NY|62 University PlaceNew York, NY 10003|Manhattan|US|
Bocal Cafe Restaurant|(212) 387-8801||restaurant|American (New)Breakfast & Brunch|/biz/bocal-cafe-restaurant-manhattan|Greenwich Village|10012|NY|169 Sullivan StManhattan, NY 10012|Manhattan|US|
